happiness_rank,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia_residual,cellular_subscriptions,surplus_deficit_gdp,inflation_rate,population,target_label,record_name
79,5.2729997635000005,1.0811657906,1.1608374119,0.7414155006,0.472787708,0.028806841,0.0227942746,1.7649385928999999,107,-4.3,1.6,1379302771,2,China
80,5.2690000534,0.7268835306,0.6726906895999999,0.4020477831,0.2352152616,0.31544601920000004,0.1243480667,2.7924892902,71,-4.9,4.1,204924861,2,Pakistan
81,5.2620000839,0.9955385923000001,1.2744446993,0.4923457205,0.4433234632,0.6117045879,0.0153171355,1.4294769764,176,-4.3,3.8,260580739,2,Indonesia
82,5.25,1.128431201,1.431337595,0.617144227,0.1539971232,0.0650196299,0.064491123,1.7894637585,78,-38.1,1087.5,31304016,2,Venezuela
83,5.2369999886,1.1211290359000001,1.2383764981999998,0.6674646735,0.1949890554,0.1979110241,0.0881741941,1.7291915417,163,-6.1,2.4,642550,2,Montenegro
84,5.2350001335,0.8781145811,0.7748644351999999,0.597710669,0.4081583321,0.0322099552,0.08776318279999999,2.456189394,129,-3.7,0.8,33986655,2,Morocco
85,5.234000206,1.1536017656,1.1524002552,0.5407757759,0.3981558383,0.0452693403,0.1809875071,1.7624816895,102,-1.4,13.0,9961396,2,Azerbaijan
86,5.2300000191,1.0793738365,1.4024167061000001,0.5748737454,0.5525898336999999,0.1869678497,0.1139452532,1.3194651604,82,-2.1,3.3,10734247,2,Dominican Republic
87,5.2270002364999995,1.2894874810999999,1.2394145726999999,0.8101989031,0.0957312509,0.0,0.04328977690000001,1.7492215633000001,120,-1.3,1.1,10768477,2,Greece
88,5.2249999046,1.0749875306999999,1.1296242476,0.7350810766,0.288515985,0.2644507587,0.0375138298,1.695073843,79,-9.7,4.5,6229794,2,Lebanon
89,5.1950001717,1.3151752949,1.3670430183000002,0.7958435415999999,0.4984652996,0.0951027125,0.0158694517,1.1076827049,109,-1.8,1.6,10839514,2,Portugal
90,5.182000160199999,0.9824094176,1.0693359375,0.7051863074,0.2044031769,0.3288674951,0.0,1.892172575,89,-1.1,1.3,3856181,2,Bosnia and Herzegovina
91,5.1810002327,0.7305731177,1.1439449787,0.5825694799000001,0.34807986020000004,0.2361888736,0.0733454525,2.0658111572,91,-3.1,3.9,9038741,2,Honduras
92,5.1750001907,1.0645779371,1.2078930140000002,0.6449481845,0.3259059787,0.2537609637,0.060277793600000004,1.6174693108000002,101,-3.0,1.4,2103721,2,Macedonia
93,5.1510000229,0.0226431843,0.7211513519,0.11398913710000001,0.602126956,0.2916313112,0.2824103236,3.1174845694999997,60,-0.1,1.5,11031386,2,Somalia
94,5.0739998817,0.7885475755,1.2774913311,0.6521689892,0.5710555911,0.23496805129999998,0.0876332372,1.4623186588,125,-2.3,3.5,96160163,2,Vietnam
95,5.0739998817,0.7837562561,1.215770483,0.05691573019999999,0.3949525654,0.23094719649999998,0.0261215661,2.3653905392,76,-2.1,16.5,190632261,2,Nigeria
96,5.0409998894,0.5247136354,1.271463275,0.5292351246,0.47156670689999997,0.24899764359999998,0.1463771462,1.8490493298,111,-1.4,7.3,8468555,2,Tajikistan
97,5.0110001564,0.8854163884999999,1.3401265144,0.4958792925,0.5015376806,0.4740545452,0.1733803898,1.1401844025,96,-5.4,3.4,758288,2,Bhutan
98,5.0040001869,0.5962200760999999,1.3942385912000002,0.5534577965999999,0.45494338869999995,0.4285803735,0.039439179,1.5367231369,127,-3.6,3.2,5789122,2,Kyrgyzstan
99,4.9619998932,0.47982019189999997,1.1792832613,0.5041307807000001,0.44030594829999997,0.3940961659,0.0729755461,1.8912410736,109,-9.8,4.5,29384297,1,Nepal
100,4.9549999237,1.0272358656,1.4930112362,0.5577834845,0.3941439688,0.3384642303,0.0329022892,1.1112923622,127,-6.4,4.6,3068243,1,Mongolia
101,4.8289999962,1.0546987057,1.3847886324,0.1870800704,0.47924673560000003,0.1393623799,0.0725094974,1.5109086037000001,168,-3.2,5.3,54841552,1,South Africa
102,4.8049998283,1.0072658062,0.8683514595,0.613212049,0.2896806896,0.049693357199999996,0.08672314880000001,1.8902511597,126,-4.8,5.3,11403800,1,Tunisia
103,4.7750000954,0.7162492275,1.1556471586,0.5656669736,0.2547110617,0.11417317390000001,0.08928260210000001,1.878890276,150,0.4,0.8,2747943,1,Palestinian Territories
104,4.7350001335,0.9897018075,0.9974713922,0.5201872586999999,0.2821101546,0.1286314428,0.11438136550000001,1.7021610737000001,106,-10.8,23.5,97041072,1,Egypt
105,4.7140002250999995,1.1614590883,1.4343794584,0.7082176805,0.2892317176,0.1131776944,0.0110515309,0.9961392879000001,120,0.8,1.2,7101510,1,Bulgaria
106,4.7090001106,0.3684209287,0.984136045,0.0055647539,0.318697691,0.2930409014,0.071095176,2.6684598923,102,-7.1,18.0,6163195,1,Sierra Leone
107,4.6950001717,0.5643053651,0.946018219,0.1328921169,0.4303887486,0.2362984568,0.0513066314,2.3336455822,79,-5.9,0.6,24994885,1,Cameroon
108,4.6919999123,1.156873107,0.7115512490000001,0.6393331885,0.24932260809999998,0.3872429132,0.048761073499999995,1.4987349509999999,106,-2.1,9.9,82021564,1,Iran
109,4.6440000534,0.9961927533,0.8036852479000001,0.7311597465999999,0.38149863479999996,0.2013129443,0.039864216,1.4904415607,115,-2.1,2.0,3047987,1,Albania
110,4.6079998016,0.5866829753,0.7351317406,0.5332410336,0.4783566594,0.1722553521,0.12371785939999999,1.9787361622,92,-5.0,5.7,157826578,1,Bangladesh
111,4.5739998817,0.9644343257,1.0984708071,0.3386118114,0.5203035474000001,0.077133745,0.0931469724,1.4818902016,107,-6.3,6.1,2484780,1,Namibia
112,4.5529999732999995,0.5604794621,1.0679507256,0.3099883497,0.4527637661,0.4448603094,0.0646413192,1.6519021988,90,-11.7,8.0,47615739,1,Kenya
113,4.5500001907,0.23430565,0.870701015,0.1066544354,0.48079109189999997,0.3222281039,0.1794363856,2.3556509018000003,45,-6.9,15.3,26573706,1,Mozambique
114,4.5450000763,0.3671105504,1.1232359409000001,0.39752256869999997,0.5144920349000001,0.8380751609999999,0.1888162047,1.1152904034,87,-3.3,5.1,55123814,1,Myanmar
115,4.5349998474,0.4793090224,1.1796919107,0.4093628526,0.3779222667,0.1834688932,0.11546044800000001,1.7896461487,107,-3.8,1.4,14668522,1,Senegal
116,4.513999939,0.6364067793,1.0031872988,0.2578358948,0.4616034925,0.2495801449,0.0782135502,1.8267054558000002,84,-8.4,6.6,15972001,1,Zambia
117,4.4970002174,1.1027104855,0.9786131978,0.50118047,0.2885555327,0.19963726399999998,0.10721575470000001,1.3189072609,85,-11.0,0.1,39192111,1,Iraq
118,4.4650001526,1.1982102394,1.1556202173,0.3565785885,0.312328577,0.043785378300000004,0.0760467872,1.3229162693,150,-6.0,3.0,1772255,1,Gabon
119,4.4600000381000005,0.33923384549999996,0.8646692037999999,0.3534097075,0.4088427424,0.3126507401,0.1654557139,2.0157437325,59,-3.2,9.9,105350020,1,Ethiopia
120,4.440000057200001,1.0098501443999999,1.259976387,0.6251308322,0.5612132549000001,0.49086356159999994,0.0736539662,0.4193892479,126,-4.8,6.5,22409381,1,Sri Lanka
121,4.3759999275,0.9005967379,1.0074837208,0.637524426,0.19830326739999998,0.0834880918,0.0266744215,1.5214991569999998,115,-3.4,0.9,3045191,1,Armenia
122,4.315000057200001,0.7922212481,0.7543725967,0.4554276168,0.469987005,0.2315384895,0.09222688529999999,1.5191171169,91,-4.1,3.6,1281935911,1,India
123,4.2919998169,0.6484572887,1.2720308304,0.2853492796,0.09609804300000001,0.20187002420000003,0.1369570047,1.6516373158000002,108,-1.1,2.3,3758571,1,Mauritania
124,4.2909998894,0.8089642525,0.832044363,0.2899574339,0.4350258708,0.12085212769999999,0.0796181336,1.7241356372999999,102,-10.5,0.5,4954674,1,Congo (Brazzaville)
125,4.2859997749000005,0.9506126642,0.570614934,0.6495469809000001,0.30941003559999997,0.0540088154,0.2516666353,1.5001378059000001,116,-3.9,6.0,4926330,1,Georgia
126,4.2800002098,0.09210234880000001,1.2290234566,0.19140702489999997,0.2359613478,0.24645583329999998,0.0602413565,2.2249586582,42,-0.3,41.5,83301151,1,Congo (Kinshasa)
127,4.190000057200001,0.47618049380000005,1.2814733982,0.1693656743,0.30661374329999996,0.18335419890000001,0.1049702466,1.6681909561000001,113,-3.4,1.8,17885245,1,Mali
128,4.1799998283,0.6030489206,0.9047800303,0.048642169699999994,0.4477061927,0.2012374699,0.1300617754,1.8449642658,131,-4.4,0.8,24184810,1,Ivory Coast
129,4.1680002213,0.6017650962,1.0062383413,0.4297834039,0.6333758235,0.3859229684,0.068105951,1.0429410934,115,-1.9,2.9,16204486,1,Cambodia
130,4.138999939,0.6595166922,1.2140085697,0.2909208238,0.0149958553,0.1823174506,0.08984752,1.6870658397999998,77,-4.4,32.4,37345935,1,Sudan
131,4.1199998856,0.6672248244,0.8736647367,0.2956377268,0.42302629350000004,0.2569239438,0.025336369900000003,1.5778675079,134,-6.9,12.4,27499924,1,Ghana
132,4.0960001945,0.8946519493999999,1.3945375681,0.5759039521,0.1229747757,0.2700614631,0.0230294708,0.8143823147,127,-3.2,14.4,44033874,1,Ukraine
133,4.0809998512,0.3814307153,1.1298277378000001,0.2176326066,0.4431859553,0.3257660568,0.0570697188,1.5263626575,63,-1.1,5.6,39570125,1,Uganda
134,4.0320000648,0.3502277136,1.0432800055,0.2158442587,0.32436785100000004,0.2508646846,0.12032810599999999,1.7272129059,89,-5.3,0.4,20107509,1,Burkina Faso
135,4.0279998779,0.1619253308,0.9930250048999999,0.268505007,0.3636586964,0.2286738455,0.1385729462,1.8739833832,46,-4.4,2.4,19245344,1,Niger
136,3.9700000286000003,0.2334420383,0.5125688314,0.3150895834,0.4669146538,0.2871704698,0.072711654,2.0817861557,40,-3.9,11.5,19196246,0,Malawi
137,3.9360001087,0.4380129874,0.9538558722,0.0411347151,0.16234202679999998,0.2161138505,0.0535818823,2.0712380409,52,-3.5,-0.9,12075985,0,Chad
138,3.875,0.375846535,1.0830959082,0.1967637539,0.33638420700000005,0.18914349379999998,0.0953753814,1.5979702473,102,-7.0,1.3,13805084,0,Zimbabwe
139,3.8080000877,0.5210212469,1.1900951862,0.0,0.39066129920000003,0.15749727189999999,0.11909464,1.4298353195,122,-3.8,5.6,1958042,0,Lesotho
140,3.7950000763,0.8584281802,1.1044119596,0.049868665599999994,0.0,0.09792649,0.0697203353,1.6144824028,45,-7.3,31.7,29310273,0,Angola
141,3.7939999104,0.40147721770000006,0.5815433264000001,0.18074677879999998,0.10617952050000001,0.31187093260000004,0.0611578301,2.1508011818,70,-14.5,5.0,34124811,0,Afghanistan
142,3.7660000324,1.1220941544,1.2215549946,0.3417555094,0.5051963329,0.09934844820000001,0.0985831991,0.3779137135,146,-2.8,3.3,2214858,0,Botswana
143,3.6570000648,0.43108540770000003,0.4352998435,0.2099302113,0.42596277590000003,0.20794846120000002,0.0609290153,1.8856309652,79,-9.4,0.1,11038805,0,Benin
144,3.6440000533999997,0.3058086932,0.9130203723999999,0.37522330880000004,0.1891967654,0.2087325305,0.0672319755,1.584612608,35,-2.3,8.1,25054161,0,Madagascar
145,3.6029999256,0.3686102629,0.6404498219,0.27732113,0.0303698573,0.48920378090000005,0.0998721495,1.697167635,61,-8.0,14.7,10646714,0,Haiti
146,3.5929999352,0.5916834474,0.9353822470000001,0.3100809157,0.2494637221,0.1041252092,0.05676742269999999,1.345600605,59,-6.9,4.9,28036829,0,Yemen
147,3.5910000800999997,0.3972486258,0.6013231277000001,0.1634860039,0.1470624357,0.2856708169,0.1167935133,1.8795673847,12,-1.3,187.9,13026129,0,South Sudan
148,3.5329999924,0.119041793,0.8721179365999999,0.2299181968,0.3328811824,0.2665498853,0.0389482491,1.6732859612,66,-4.7,12.4,4689021,0,Liberia
149,3.5069999695,0.2445499301,0.7912446856,0.19412913920000002,0.34858751299999996,0.2648150921,0.11093761769999999,1.5523118972999999,87,-3.4,8.9,12413867,0,Guinea
150,3.4949998856,0.3054447174,0.4318825305,0.2471055686,0.3804261386,0.1968961507,0.09566501529999999,1.8372292519,78,-4.8,-0.7,7965055,0,Togo
151,3.4709999561,0.3687458932,0.9457070231,0.3264248073,0.581843853,0.2527560294,0.4552200139,0.5400612354,74,-4.3,4.8,11901484,0,Rwanda
152,3.4619998932,0.7771531343000001,0.39610260729999996,0.5005333424,0.0815394446,0.4936637282,0.1513471305,1.0615735054000002,87,-8.7,25.5,18028549,0,Syria
153,3.3489999770999996,0.5111358762,1.0419898033,0.36450928450000003,0.3900177777,0.3542563617,0.06603510679999999,0.6211304665,74,-2.7,5.3,53950935,0,Tanzania
154,2.9049999713999997,0.09162256869999999,0.6297935843,0.1516107917,0.059900753200000004,0.20443518460000001,0.084147945,1.6830241680000002,52,-4.2,16.6,11466756,0,Burundi
155,2.6930000782,0.0,0.0,0.018772685900000002,0.2708420455,0.2808764875,0.0565650761,2.0660047531,22,-2.0,3.8,5625118,0,Central African Republic
